site,month,year,baseline_mean,baseline_std,baseline_count,ndvi_baseline_mean,ndvi_baseline_std
Haifa_Coastal_Urban,10,2003,27.913333333333338,0.5138417395787672,3,0.19745,0.006604733151308996
Haifa_Coastal_Urban,10,2004,27.767500000000002,0.5109712973021749,4,0.2115625,0.028735557966858193
Haifa_Coastal_Urban,10,2005,27.85,0.4794267410147255,5,0.20698999999999995,0.026904237584440136
Haifa_Coastal_Urban,10,2006,27.833333333333332,0.4307512816773354,6,0.22089166666666663,0.041696623564344726
Haifa_Coastal_Urban,10,2007,27.764285714285712,0.4335841764816128,7,0.22160714285714284,0.03811067685670502
Haifa_Coastal_Urban,10,2008,27.78625,0.4061997221635122,8,0.22501875,0.036579326103883966
Haifa_Coastal_Urban,10,2009,27.731111111111108,0.4144105586385456,9,0.22272222222222218,0.03490354665996632
Haifa_Coastal_Urban,10,2010,27.856,0.5555417776069294,10,0.21736999999999998,0.03700484352682019
Haifa_Coastal_Urban,10,2011,27.936363636363637,0.5905975402467017,11,0.2183272727272727,0.03524915150493957
Haifa_Coastal_Urban,10,2012,27.893333333333334,0.5825076407354254,12,0.22700833333333334,0.045098532698028576
Haifa_Coastal_Urban,10,2013,27.922307692307694,0.5674086394324322,13,0.22610769230769232,0.04330049483047629
Haifa_Coastal_Urban,10,2014,27.907857142857146,0.5478233652925362,14,0.22910714285714287,0.04308899046045405
Haifa_Coastal_Urban,10,2015,27.926000000000002,0.5325518083449051,15,0.22813333333333335,0.04169252959235653
Haifa_Coastal_Urban,10,2016,27.891875,0.5322933871465998,16,0.22569999999999998,0.041438150698762305
Haifa_Coastal_Urban,10,2017,27.98235294117647,0.6362343260521698,17,0.2249235294117647,0.04024984129490086
Haifa_Coastal_Urban,10,2018,28.011666666666667,0.6296427558544607,18,0.22189444444444442,0.041108503803560174
Haifa_Coastal_Urban,10,2019,27.929473684210524,0.709071957516071,19,0.22529999999999997,0.04261905220803382
Haifa_Coastal_Urban,10,2020,28.014,0.786901986807827,20,0.227385,0.04251739613010434
Haifa_Coastal_Urban,10,2021,28.11809523809524,0.903219901505824,21,0.2280095238095238,0.04153953724780653
Haifa_Coastal_Urban,10,2022,28.144090909090913,0.8898456746398922,22,0.22784545454545455,0.04054574109832156
Haifa_Coastal_Urban,10,2023,28.13130434782609,0.8715467146913745,23,0.2255782608695652,0.041078651904517156
Haifa_Coastal_Urban,10,2024,28.138749999999998,0.8531696018759797,24,0.22661250000000002,0.040493945467998275
Haifa_Coastal_Urban,10,2025,28.072799999999997,0.8979445045955422,25,0.22631200000000004,0.039669809784436
Haifa_Coastal_Urban,11,2000,,,0,,
Haifa_Coastal_Urban,11,2001,,,1,,
Haifa_Coastal_Urban,11,2002,,,2,,
Haifa_Coastal_Urban,11,2003,22.290000000000003,0.9724710792614861,3,0.2233333333333333,0.015303131487814297
Haifa_Coastal_Urban,11,2004,22.1625,0.8339614299634405,4,0.2284125,0.01610327994540243
Haifa_Coastal_Urban,11,2005,22.032000000000004,0.7789544274217843,5,0.21517,0.03273080735331776
Haifa_Coastal_Urban,11,2006,21.708333333333332,1.0554509304873758,6,0.21885,0.03063166662132506
Haifa_Coastal_Urban,11,2007,21.454285714285714,1.1747745477729927,7,0.2245142857142857,0.031725459207153514
Haifa_Coastal_Urban,11,2008,21.47875,1.0898287873396844,8,0.22121249999999998,0.030820977897714867
Haifa_Coastal_Urban,11,2009,21.563333333333336,1.0505474763188958,9,0.21854444444444443,0.02992085857353993
Haifa_Coastal_Urban,11,2010,21.440000000000005,1.064487357056595,10,0.217585,0.028372346180352757
Haifa_Coastal_Urban,11,2011,21.782727272727275,1.520493938883618,11,0.2186909090909091,0.027165132230322554
Haifa_Coastal_Urban,11,2012,21.56916666666667,1.6275830286506177,12,0.21669583333333334,0.02680713489093167
Haifa_Coastal_Urban,11,2013,21.538461538461544,1.5622198210337657,13,0.21828846153846154,0.026300405207953816
Haifa_Coastal_Urban,11,2014,21.676428571428573,1.587225964926313,14,0.21807857142857143,0.025280812991169917
Haifa_Coastal_Urban,11,2015,21.656000000000002,1.5315342447549594,15,0.21896666666666667,0.02460282117001645
Haifa_Coastal_Urban,11,2016,21.7,1.490033556669111,16,0.219153125,0.02378028222954191
Haifa_Coastal_Urban,11,2017,21.663529411764703,1.4505341308310822,17,0.22196176470588236,0.025773275460080288
Haifa_Coastal_Urban,11,2018,21.68777777777778,1.4109802831638452,18,0.2217916666666667,0.025014162165132168
Haifa_Coastal_Urban,11,2019,21.703157894736844,1.3728642104559643,19,0.22237368421052633,0.02444141730990573
Haifa_Coastal_Urban,11,2020,21.7745,1.3738094367200473,20,0.22274500000000003,0.02384741462319399
Haifa_Coastal_Urban,11,2021,21.77047619047619,1.3391507614547224,21,0.22569523809523812,0.026889518891019162
Haifa_Coastal_Urban,11,2022,21.837727272727275,1.344406159639981,22,0.22461363636363638,0.026727372191115692
Haifa_Coastal_Urban,11,2023,21.87695652173913,1.3269014993332424,23,0.22394347826086958,0.026309911303657497
Haifa_Coastal_Urban,11,2024,21.950833333333332,1.347257816154134,24,0.22420833333333334,0.025764293908036962
Haifa_Coastal_Urban,11,2025,21.891199999999998,1.352175161237133,25,0.224028,0.02523793886856321
Haifa_Coastal_Urban,12,2000,,,0,,
Haifa_Coastal_Urban,12,2001,,,1,,
Haifa_Coastal_Urban,12,2002,,,2,,
Haifa_Coastal_Urban,12,2003,16.23,0.20880613017821065,3,0.21731666666666663,0.02120432345851508
Haifa_Coastal_Urban,12,2004,16.1675,0.21140403654298187,4,0.21743749999999998,0.01731494417163008
Haifa_Coastal_Urban,12,2005,16.018,0.38114301777679166,5,0.22010999999999997,0.016142080101399572
Haifa_Coastal_Urban,12,2006,16.37666666666667,0.9423728915172952,6,0.21843333333333334,0.015010685083188795
Haifa_Coastal_Urban,12,2007,16.314285714285713,0.8759539018094726,7,0.2218357142857143,0.016395139378428455
Haifa_Coastal_Urban,12,2008,16.26875,0.8211392347568979,8,0.22361874999999998,0.015994819194708913
Haifa_Coastal_Urban,12,2009,16.293333333333337,0.7716378684331148,9,0.22284999999999996,0.015138485723479747
Haifa_Coastal_Urban,12,2010,16.344,0.744941459295815,10,0.22324499999999997,0.014327255494336662
Haifa_Coastal_Urban,12,2011,16.594545454545457,1.0908470436900282,11,0.22662272727272725,0.01761370721393376
Haifa_Coastal_Urban,12,2012,16.551666666666666,1.050634728787001,12,0.22558749999999997,0.0171726278631802
Haifa_Coastal_Urban,12,2013,16.59,1.0153570800462277,13,0.22988076923076922,0.02258190221598499
Haifa_Coastal_Urban,12,2014,16.458571428571428,1.092462688275772,14,0.22841428571428568,0.022379097635718277
Haifa_Coastal_Urban,12,2015,16.52466666666667,1.0833998514377041,15,0.2351166666666666,0.033747289132751435
Haifa_Coastal_Urban,12,2016,16.537499999999998,1.0479217528040923,16,0.23414999999999997,0.03283146864417327
Haifa_Coastal_Urban,12,2017,16.462941176470586,1.060193170522962,17,0.23409117647058822,0.031789858029400056
Haifa_Coastal_Urban,12,2018,16.52611111111111,1.0628825339828258,18,0.2355611111111111,0.03146491769815445
Haifa_Coastal_Urban,12,2019,16.511052631578945,1.0350195636199466,19,0.23836842105263156,0.032935961477988336
Haifa_Coastal_Urban,12,2020,16.541,1.0162775211525643,20,0.23695,0.0326790815112826
Haifa_Coastal_Urban,12,2021,16.57,0.9994198317023737,21,0.23911190476190475,0.03335680929271377
Haifa_Coastal_Urban,12,2022,16.49772727272727,1.0325646840948164,22,0.239525,0.03261052543347958
Haifa_Coastal_Urban,12,2023,16.549130434782608,1.038508165344003,23,0.23871086956521737,0.032099104194954986
Haifa_Coastal_Urban,12,2024,16.60666666666667,1.054067346527011,24,0.24014374999999996,0.03216877473474522
Haifa_Coastal_Urban,12,2025,16.586000000000002,1.0370350363737317,25,0.23975999999999995,0.03154986133091554
Hula_Valley_Wetland,1,2001,,,0,,
Hula_Valley_Wetland,1,2002,,,1,,
Hula_Valley_Wetland,1,2003,,,2,,
Hula_Valley_Wetland,1,2004,17.24,0.9152595260361949,3,0.49094999999999994,0.02924991452978972
Hula_Valley_Wetland,1,2005,17.27,0.7497110554518098,4,0.48197499999999993,0.029875979760782215
Hula_Valley_Wetland,1,2006,17.062,0.7986676405113706,5,0.45438999999999996,0.06688865187757935
Hula_Valley_Wetland,1,2007,16.881666666666668,0.8398908659264409,6,0.4461916666666667,0.06310744343313764
Hula_Valley_Wetland,1,2008,16.794285714285714,0.800809114642958,7,0.43223571428571433,0.0684263942391489
Hula_Valley_Wetland,1,2009,16.58875,0.9421470540359247,8,0.4235375,0.06795999742495581
Hula_Valley_Wetland,1,2010,16.473333333333336,0.9468764438932885,9,0.41818333333333335,0.0655686281692701
Hula_Valley_Wetland,1,2011,16.523000000000003,0.9064344065255538,10,0.41999000000000003,0.06208213555891548
Hula_Valley_Wetland,1,2012,16.52909090909091,0.860156433975292,11,0.41932272727272735,0.05893785016284682
Hula_Valley_Wetland,1,2013,16.392500000000002,0.9468332386530278,12,0.41145000000000004,0.06246310911249937
Hula_Valley_Wetland,1,2014,16.409230769230774,0.9085286781243389,13,0.4072423076923077,0.061698169361530525
Hula_Valley_Wetland,1,2015,16.526428571428575,0.9768442686911385,14,0.401975,0.06246812956651145
Hula_Valley_Wetland,1,2016,16.534000000000002,0.9417673355376657,15,0.39548,0.06524039557119282
Hula_Valley_Wetland,1,2017,16.528125,0.9101371233684149,16,0.392853125,0.06389806587774521
Hula_Valley_Wetland,1,2018,16.52,0.8818730067305609,17,0.38927058823529415,0.06360790305364857
Hula_Valley_Wetland,1,2019,16.54722222222222,0.8633028611474419,18,0.3866305555555556,0.06271700946428961
Hula_Valley_Wetland,1,2020,16.504210526315788,0.8596725202687726,19,0.38460789473684215,0.061584346548178
Hula_Valley_Wetland,1,2021,16.348999999999997,1.0871735444672455,20,0.3834525000000001,0.060164094632053904
Hula_Valley_Wetland,1,2022,16.506666666666668,1.2825300516297202,21,0.3839690476190477,0.058688462401460306
